VPC Name,VPC CIDR
shared-vpc01,10.245.80.0/20
DISRD-External-Perimeter-VPC,10.245.24.0/21
trade-vpc-1,10.249.0.0/16
10.0.0.0/8,10.0.0.0/8
172.16.0.0/12,172.16.0.0/12
192.168.0.0/16,192.168.0.0/16
139.5.174.0/23,139.5.174.0/23
141.243.0.0/16,141.243.0.0/16
143.119.0.0/16,143.119.0.0/16
144.130.7.5/32,144.130.7.5/32
148.145.102.0/23,148.145.102.0/23
150.1.0.0/16,150.1.0.0/16
153.107.196.0/24,153.107.196.0/24
153.107.226.24/29,153.107.226.24/29
172.32.254.248/29,172.32.254.248/29
198.19.248.64/28,198.19.248.64/28
203.3.220.80/28,203.3.220.80/28
203.11.0.0/16,203.11.0.0/16
203.44.42.112/28,203.44.42.112/28
oosnonprod-vpc01,10.250.176.0/20
oosprod-vpc01,10.250.160.0/20
13.210.28.64,13.210.28.64
13.236.198.200,13.236.198.200
54.153.163.193,54.153.163.193
52.64.202.191,52.64.202.191
52.65.194.103,52.65.194.103
52.62.199.95,52.62.199.95
OEH-NSW,10.8.0.0/14
